t,S_mean,E_mean,I_mean,R_mean
337,3826.6666666666665,362.3333333333333,732.3333333333334,15078.666666666666
338,3810.3333333333335,368.3333333333333,726.6666666666666,15094.666666666666
339,3779.3333333333335,383.0,724.6666666666666,15113.0
340,3756.0,384.6666666666667,736.6666666666666,15122.666666666666
341,3735.6666666666665,387.6666666666667,738.3333333333334,15138.333333333334
342,3731.3333333333335,376.3333333333333,746.0,15146.333333333334
343,3726.6666666666665,376.6666666666667,758.6666666666666,15138.0
344,3707.6666666666665,375.3333333333333,754.6666666666666,15162.333333333334
345,3693.6666666666665,379.0,762.0,15165.333333333334
346,3686.3333333333335,383.0,759.0,15171.666666666666
347,3674.0,376.0,759.3333333333334,15190.666666666666
348,3645.3333333333335,382.0,775.0,15197.666666666666
349,3627.6666666666665,379.0,776.6666666666666,15216.666666666666
350,3618.0,375.6666666666667,768.6666666666666,15237.666666666666
351,3605.3333333333335,387.6666666666667,762.6666666666666,15244.333333333334
352,3593.6666666666665,386.0,771.0,15249.333333333334
353,3586.0,387.6666666666667,769.0,15257.333333333334
354,3561.6666666666665,388.6666666666667,776.3333333333334,15273.333333333334
355,3549.6666666666665,390.6666666666667,781.0,15278.666666666666
356,3531.3333333333335,383.6666666666667,801.6666666666666,15283.333333333334
357,3508.6666666666665,380.6666666666667,789.0,15321.666666666666
358,3489.3333333333335,384.3333333333333,792.3333333333334,15334.0
359,3496.3333333333335,370.0,791.0,15342.666666666666
360,3497.6666666666665,364.0,785.3333333333334,15353.0
361,3480.6666666666665,364.0,798.6666666666666,15356.666666666666
362,3481.3333333333335,368.6666666666667,793.0,15357.0
363,3487.0,357.3333333333333,779.6666666666666,15376.0
364,3462.0,376.6666666666667,773.6666666666666,15387.666666666666
365,3476.3333333333335,351.3333333333333,784.0,15388.333333333334
366,3467.6666666666665,348.0,786.0,15398.333333333334
367,3480.3333333333335,344.3333333333333,768.6666666666666,15406.666666666666
368,3476.6666666666665,348.0,761.6666666666666,15413.666666666666
369,3465.3333333333335,351.3333333333333,744.0,15439.333333333334
370,3456.0,342.3333333333333,757.0,15444.666666666666
371,3439.6666666666665,355.0,756.6666666666666,15448.666666666666
372,3422.6666666666665,368.3333333333333,749.3333333333334,15459.666666666666
373,3425.0,358.0,751.6666666666666,15465.333333333334
374,3437.3333333333335,338.0,759.6666666666666,15465.0
375,3445.0,344.6666666666667,739.6666666666666,15470.666666666666
376,3450.6666666666665,341.0,738.6666666666666,15469.666666666666
377,3452.0,346.3333333333333,717.3333333333334,15484.333333333334
378,3445.3333333333335,345.0,729.0,15480.666666666666
379,3446.3333333333335,335.6666666666667,728.0,15490.0
380,3452.6666666666665,331.6666666666667,730.6666666666666,15485.0
381,3454.0,332.6666666666667,726.6666666666666,15486.666666666666
382,3450.0,334.6666666666667,727.0,15488.333333333334
383,3457.0,336.3333333333333,723.0,15483.666666666666
384,3463.3333333333335,344.3333333333333,707.6666666666666,15484.666666666666
385,3473.6666666666665,333.6666666666667,701.0,15491.666666666666
386,3474.0,333.6666666666667,699.0,15493.333333333334
387,3479.3333333333335,337.3333333333333,705.3333333333334,15478.0
388,3484.6666666666665,338.0,711.6666666666666,15465.666666666666
389,3493.0,346.0,698.6666666666666,15462.333333333334
390,3492.6666666666665,354.0,704.0,15449.333333333334
391,3508.0,345.0,711.0,15436.0
392,3497.3333333333335,351.6666666666667,705.0,15446.0
393,3499.6666666666665,348.6666666666667,710.6666666666666,15441.0
394,3496.3333333333335,341.0,716.3333333333334,15446.333333333334
395,3489.6666666666665,341.0,725.0,15444.333333333334
396,3489.0,342.0,711.6666666666666,15457.333333333334
397,3485.6666666666665,340.0,707.6666666666666,15466.666666666666
398,3506.3333333333335,326.3333333333333,703.6666666666666,15463.666666666666
399,3516.6666666666665,334.6666666666667,679.3333333333334,15469.333333333334
400,3523.6666666666665,314.0,691.0,15471.333333333334
