t,S_mean,E_mean,I_mean,R_mean
294,3991.3333333333335,221.0,407.3333333333333,15380.333333333334
295,4001.3333333333335,228.0,410.6666666666667,15360.0
296,4023.6666666666665,221.33333333333334,426.6666666666667,15328.333333333334
297,4051.0,230.33333333333334,427.6666666666667,15291.0
298,4080.0,223.0,433.0,15264.0
299,4108.0,226.33333333333334,431.0,15234.666666666666
300,4111.333333333333,243.0,433.6666666666667,15212.0
301,4126.0,239.33333333333334,453.3333333333333,15181.333333333334
302,4139.0,251.0,450.6666666666667,15159.333333333334
303,4140.666666666667,258.6666666666667,452.0,15148.666666666666
304,4149.333333333333,266.0,462.0,15122.666666666666
305,4156.333333333333,273.6666666666667,474.3333333333333,15095.666666666666
306,4148.0,281.0,487.0,15084.0
307,4156.333333333333,277.3333333333333,501.0,15065.333333333334
308,4162.666666666667,278.6666666666667,513.3333333333334,15045.333333333334
309,4173.0,281.3333333333333,517.3333333333334,15028.333333333334
310,4185.0,287.6666666666667,512.3333333333334,15015.0
311,4178.333333333333,296.3333333333333,526.3333333333334,14999.0
312,4177.333333333333,290.3333333333333,549.3333333333334,14983.0
313,4164.333333333333,293.0,569.0,14973.666666666666
314,4158.0,305.6666666666667,570.0,14966.333333333334
315,4148.666666666667,313.6666666666667,584.6666666666666,14953.0
316,4138.666666666667,319.3333333333333,596.0,14946.0
317,4136.0,319.6666666666667,608.3333333333334,14936.0
318,4116.0,330.6666666666667,621.6666666666666,14931.666666666666
319,4100.333333333333,349.3333333333333,620.0,14930.333333333334
320,4088.3333333333335,353.0,626.6666666666666,14932.0
321,4079.6666666666665,343.3333333333333,651.0,14926.0
322,4063.3333333333335,352.0,657.6666666666666,14927.0
323,4048.6666666666665,353.6666666666667,665.6666666666666,14932.0
324,4013.6666666666665,362.0,680.0,14944.333333333334
325,4001.0,368.3333333333333,675.3333333333334,14955.333333333334
326,3990.0,363.0,685.0,14962.0
327,3966.3333333333335,368.6666666666667,697.3333333333334,14967.666666666666
328,3945.3333333333335,363.6666666666667,709.3333333333334,14981.666666666666
329,3929.6666666666665,362.6666666666667,723.6666666666666,14984.0
330,3891.6666666666665,377.6666666666667,740.0,14990.666666666666
331,3866.3333333333335,376.0,748.3333333333334,15009.333333333334
332,3848.0,380.6666666666667,747.6666666666666,15023.666666666666
333,3829.3333333333335,376.0,751.0,15043.666666666666
334,3820.3333333333335,374.3333333333333,755.0,15050.333333333334
335,3799.3333333333335,376.0,756.3333333333334,15068.333333333334
336,3772.6666666666665,390.3333333333333,748.6666666666666,15088.333333333334
337,3762.3333333333335,384.3333333333333,761.6666666666666,15091.666666666666
338,3745.6666666666665,367.3333333333333,782.0,15105.0
339,3718.6666666666665,370.3333333333333,785.3333333333334,15125.666666666666
340,3710.0,359.3333333333333,778.0,15152.666666666666
341,3701.6666666666665,363.6666666666667,767.3333333333334,15167.333333333334
342,3698.0,361.0,762.6666666666666,15178.333333333334
